norec,mean_SI,std_SI,week_count,min_SI,max_SI,deviation_from_overall,uniformity
2170,0.8762,0.1722,17,0.5272,1.0,0.043633794063079656,0.9475912020546441
2171,0.8301,0.1684,16,0.5018,1.0,0.0024662059369203737,0.9970378260379364
2172,0.8646,0.1669,16,0.4655,1.0,0.03203379406307971,0.9615240279575955
2173,0.8204,0.1617,16,0.502,1.0,0.012166205936920305,0.9853871009294339
2174,0.8396,0.1809,17,0.4706,1.0,0.00703379406307969,0.9915516699898187
2175,0.9379,0.0928,14,0.6321,1.0,0.10533379406307963,0.8734829815191174
2176,0.8268,0.1856,16,0.5106,1.0,0.005766205936920343,0.9930741772896831
2177,0.9184,0.1104,17,0.6893,1.0,0.08583379406307967,0.8969045423042514
2178,0.7455,0.2236,17,0.3845,1.0,0.08706620593692027,0.8954242854008936
2179,0.8843,0.1422,17,0.5802,1.0,0.05173379406307965,0.9378622460362038
2180,0.7235,0.1876,16,0.5222,1.0,0.10906620593692029,0.8689999604125371
2181,0.86,0.1565,17,0.5919,1.0,0.027433794063079664,0.9670491140915246
2182,0.8608,0.1565,16,0.5787,1.0,0.028233794063079687,0.9660882295464934
2183,0.8691,0.1479,16,0.6414,1.0,0.03653379406307966,0.9561190523917954
2184,0.7703,0.1738,16,0.5612,1.0,0.06226620593692034,0.9252117062968588
2185,0.7595,0.1862,17,0.5148,1.0,0.07306620593692037,0.9122397649389383
2186,0.8796,0.1459,17,0.6071,1.0,0.047033794063079726,0.9435074427382616
2187,0.8309,0.162,17,0.5834,1.0,0.0016662059369203508,0.9979987105829676
2188,0.7565,0.1736,16,0.5692,1.0,0.07606620593692037,0.9086364478950716
2189,0.8124,0.165,16,0.5991,1.0,0.02016620593692031,0.9757782554791226
2190,0.8064,0.1802,17,0.5582,1.0,0.026166205936920317,0.968571621391389
2191,0.7536,0.2131,16,0.4514,1.0,0.07896620593692028,0.9051532414193338
2192,0.8463,0.1684,16,0.5138,1.0,0.01373379406307973,0.9835042619251828
